plotID	type	date	precipitation_radolan	precipitation_radolan_rain_days	SD_Olivieri	SM_10	SM_20	Ta_10	Ta_200	Ta_200_cold_days	Ta_200_cool_days	Ta_200_growing_degree_days_10	Ta_200_ice_days	Ta_200_min	Ta_200_max	Ta_200_summer_days	Ta_200_tropical_days	Ta_200_tropical_nights	Ta_200_warm_days	Ts_05	Ts_10	Ts_20	Ts_50	WD	WV	WV_gust	Ta_200_max_raw	Ta_200_min_raw
AEG03	cowManure	05/06/2022	NA	NA	NA	45.83812	35.64209	16.105	15.13208	0	0	5.415	0	12	18.83	0	0	0	0	16.93208	16.92167	16.27708	14.50166	NA	NA	NA	18.83	12
AEG03	cowManure	06/06/2022	NA	NA	NA	49.26438	37.66583	17.18958	15.4225	0	0	5.88	0	10.37	21.39	0	0	0	1	17.0675	16.68125	15.82625	14.48583	NA	NA	NA	21.39	10.37
AEG03	cowManure	07/06/2022	NA	NA	NA	49.28458	38.14542	15.89625	13.28875	0	0	5.41	0	10.44	20.38	0	0	0	1	17.19833	16.94792	16.19583	14.6425	NA	NA	NA	20.38	10.44
AEG03	cowManure	08/06/2022	NA	NA	NA	49.98396	38.54646	15.80208	13.38542	0	0	4.895	0	8.19	19.79	0	0	0	0	17.21542	16.88125	16.09667	14.74458	NA	NA	NA	19.79	8.19
AEG03	cowManure	09/06/2022	NA	NA	NA	49.90646	38.155	14.41792	11.64417	0	0	2.925	0	8.66	15.85	0	0	0	0	16.39334	16.36875	16.03125	14.7775	NA	NA	NA	15.85	8.66
AEG03	cowManure	10/06/2022	NA	NA	NA	49.15979	37.27438	16.255	14.12	0	0	5.98	0	6.65	21.96	0	0	0	1	16.25125	16.07083	15.57292	14.64083	NA	NA	NA	21.96	6.65
AEG03	cowManure	11/06/2022	NA	NA	NA	48.24792	36.84792	19.3825	17.5175	0	0	7.66	0	8.78	25.32	1	0	0	1	17.46917	17.04167	15.99667	14.66792	NA	NA	NA	25.32	8.78
AEG03	cowManure	12/06/2022	NA	NA	NA	47.18999	36.35521	20.90375	19.82291	0	0	9.035	0	11.59	26.48	1	0	0	1	18.61584	18.10208	16.81875	14.99667	NA	NA	NA	26.48	11.59
AEG03	cowManure	13/06/2022	NA	NA	NA	47.26896	36.13605	18.89208	15.47375	0	0	5.09	0	10.84	19.34	0	0	0	0	18.68625	18.39125	17.3725	15.42416	NA	NA	NA	19.34	10.84
AEG03	cowManure	14/06/2022	NA	NA	NA	46.66479	35.94	19.49292	16.28667	0	0	7.1	0	8.08	24.2	0	0	0	1	18.41583	18.0625	17.15	15.58958	NA	NA	NA	24.2	8.08
AEG03	cowManure	15/06/2022	NA	NA	NA	45.09125	35.55875	22.14917	19.9225	0	0	8.875	0	10.75	27	1	0	0	1	19.31292	18.82125	17.61375	15.78417	NA	NA	NA	27	10.75
AEG03	cowManure	16/06/2022	NA	NA	NA	42.69562	35.15813	21.37125	20.21417	0	0	9.405	0	14.63	24.18	0	0	0	1	19.73625	19.3225	18.15125	16.12041	NA	NA	NA	24.18	14.63
AEG03	cowManure	17/06/2022	NA	NA	NA	40.15125	34.65562	21.33666	19.12125	0	0	9.125	0	10.56	27.69	1	0	0	1	19.50542	19.11667	18.12458	16.34708	NA	NA	NA	27.69	10.56
AEG03	cowManure	18/06/2022	NA	NA	NA	37.88166	34.02208	23.66833	23.1725	0	0	12.14	0	14.48	29.8	1	0	0	1	20.66208	20.00458	18.56917	16.54208	NA	NA	NA	29.8	14.48
AEG03	cowManure	19/06/2022	NA	NA	NA	35.43375	32.96917	25.69708	25.6825	0	0	13.34	0	16.68	32.95	1	1	0	1	21.62875	20.93625	19.32292	16.88708	NA	NA	NA	32.95	16.68
AEG03	cowManure	20/06/2022	NA	NA	NA	34.84625	31.99625	20.89875	20.00375	0	0	9.99	0	14.42	25.56	1	0	0	1	20.66208	20.42084	19.50541	17.28167	NA	NA	NA	25.56	14.42
AEG03	cowManure	21/06/2022	NA	NA	NA	34.1975	31.41334	20.66417	17.22708	0	0	7.355	0	9.72	24.71	0	0	0	1	20.46125	20.07458	19.1	17.33792	NA	NA	NA	24.71	9.72
AEG03	cowManure	22/06/2022	NA	NA	NA	33.69938	31.08312	19.22167	17.4325	0	0	7.735	0	14.97	20.5	0	0	0	1	20.12542	19.96875	19.23333	17.42958	NA	NA	NA	20.5	14.97
AEG03	cowManure	23/06/2022	NA	NA	NA	33.63312	30.82938	22.96208	20.40125	0	0	11.125	0	14.05	28.2	1	0	0	1	21.14417	20.54375	19.17208	17.35583	NA	NA	NA	28.2	14.05
AEG03	cowManure	24/06/2022	NA	NA	NA	39.59188	30.45521	18.0875	15.66625	0	0	7.185	0	12.04	22.33	0	0	0	1	20.32958	20.22583	19.52833	17.60583	NA	NA	NA	22.33	12.04
AEG03	cowManure	25/06/2022	NA	NA	NA	44.29084	30.43	20.28583	17.20416	0	0	7.505	0	10.12	24.89	0	0	0	1	20.035	19.71375	18.86333	17.44792	NA	NA	NA	24.89	10.12
AEG03	cowManure	26/06/2022	NA	NA	NA	40.74083	30.42959	22.78958	20.54583	0	0	10.585	0	13.61	27.56	1	0	0	1	20.95875	20.53167	19.34333	17.525	NA	NA	NA	27.56	13.61
AEG03	cowManure	27/06/2022	NA	NA	NA	37.50604	30.29438	19.92292	16.59208	0	0	7.055	0	13.6	20.51	0	0	0	1	20.5425	20.37667	19.61042	17.77375	NA	NA	NA	20.51	13.6
AEG03	cowManure	28/06/2022	NA	NA	NA	36.37521	30.19833	18.40833	15.84416	0	0	5.84	0	11.47	20.21	0	0	0	1	19.41583	19.36583	18.99875	17.70375	NA	NA	NA	20.21	11.47
AEG03	cowManure	29/06/2022	NA	NA	NA	35.27667	30.03458	20.02875	17.59916	0	0	7.865	0	11.71	24.02	0	0	0	1	19.48292	19.2875	18.68875	17.50375	NA	NA	NA	24.02	11.71
AEG03	cowManure	30/06/2022	NA	NA	NA	34.42542	29.92729	22.30958	20.23667	0	0	11.375	0	14.05	28.7	1	0	0	1	20.49417	20.04917	18.97542	17.4875	NA	NA	NA	28.7	14.05
AEG03	cowManure	01/07/2022	NA	NA	NA	49.67667	38.55042	15.44167	12.27542	0	0	4.475	0	9.77	18.95	0	0	0	0	18.20583	18.47625	18.71083	17.6775	NA	NA	NA	18.95	9.77
AEG03	cowManure	02/07/2022	NA	NA	NA	47.87021	36.85646	18.7025	15.76958	0	0	6.945	0	7.57	23.89	0	0	0	1	18.775	18.54375	18.04125	17.27792	NA	NA	NA	23.89	7.57
AEG03	cowManure	03/07/2022	NA	NA	NA	45.56958	35.87291	21.71292	20.06958	0	0	10.03	0	11.81	28.25	1	0	0	1	19.81583	19.45875	18.56875	17.28708	NA	NA	NA	28.25	11.81
AEG03	cowManure	04/07/2022	NA	NA	NA	43.14812	35.23104	20.99667	17.93167	0	0	8.71	0	14.36	23.06	0	0	0	1	20.05125	19.86792	19.10375	17.56	NA	NA	NA	23.06	14.36
AEG03	cowManure	05/07/2022	NA	NA	NA	40.81	34.71354	20.72875	17.83959	0	0	7.45	0	11.4	23.5	0	0	0	1	19.8225	19.64458	18.99417	17.64583	NA	NA	NA	23.5	11.4
AEG03	cowManure	06/07/2022	NA	NA	NA	37.76625	34.02542	19.14375	15.39291	0	0	5.325	0	9.87	20.65	0	0	0	1	19.25292	19.21667	18.84042	17.66625	NA	NA	NA	20.65	9.87
AEG03	cowManure	07/07/2022	NA	NA	NA	35.72625	33.39749	14.66208	12.61208	0	0	3.39	0	8.28	16.78	0	0	0	0	17.61042	17.90375	18.185	17.5125	NA	NA	NA	16.78	8.28
AEG03	cowManure	08/07/2022	NA	NA	NA	34.67729	32.80792	18.16709	13.58167	0	0	4.685	0	8.91	19.37	0	0	0	0	17.78792	17.74959	17.59542	17.10625	NA	NA	NA	19.37	8.91
AEG03	cowManure	09/07/2022	NA	NA	NA	32.96771	31.74874	18.84792	15.65208	0	0	5.85	0	8.38	21.7	0	0	0	1	17.96375	17.89083	17.62958	16.97667	NA	NA	NA	21.7	8.38
